venue	OG	OO	CG	CO	adjudicators
A1	Vargas & Morales	Alberts & Nelson	Swing 1	Wenas & Salettia	Matthew HamerⒸ , Auguste McNally , Dan Do
A10	Raos & Koster	Babić & Popović	McNamara & Hutchison	Desai & Li	Klaudia MaciejewskaⒸ , Theo Dorfner
A2	Kussick & Sicard	Palawong & Indrayodha	SirLord & Djitorno	Ahsan & Harith	Helena HeckeⒸ , Hazreel Haqim , Reymund V. Santander
A3	Hossain & Nandi	Omayer & Mahiea	Yi & Min	Makhecha & Li	Chesta BⒸ , Benjamin Donkor-Boafo , Petiho Beatrice
A4	Asyl & Salihan	Stasiow & Mikota	AlWakeel and Chau	Denson & Whalley	Joel LawⒸ , Lawrence Nii Kotey Neequaye , Sheila Nurkhofrida RosyadiⓉ
A5	Menon & Lin	Qi & Razmi	Trotter & Bakker	Bermanis & Sušic	Teck Wei TanⒸ , ISHITA SINGHAL , Santiago Ortiz García
A6	Yan & Luo	Daniel & Syakir	Aripin & Aston	Penno & Robinson	Alicja FilbierⒸ , Aaron Wang , Richelle LiuⓉ
A7	Li & Ichioka	Meikle & Whittington	Weber & Samuel	Shead & Stephenson	Parth PandyaⒸ , Gazi Mahtab
A8	Jing & Zhao	Chung & Sevyan	Afsana & Ahmed	Varghese & Chauhan	Srijan PoudelⒸ , Estera Petrescu , Indira Fikri AmaliaⓉ
A9	Khandaker & Paul	Tarnowski & Kruszyński	Han & Tan	Kapelyukh & Cravaris	Udai KamathⒸ , Emily McIntyre
B1	Scott & Francis	Clough & Forsyth	Venkatesan & Mills	Wankere & Damptey	Eze NwakubaⒸ , Ben Frazer , Hien Do Thi Thu
B10	Aziz & Wu	Josipović & Popadić	Saito & Sawazaki	Davis & Wu	Yarn ShihⒸ , Luke Cass , Xiaochun “Jennette” Zhu
B2	Meehan & Peng	Rada & Turci	Zhang & Guo	Yuan & Zhou	Mehul JoshiⒸ , Tommy Koh
B3	Alexander & Ibrahim	McDonald & Johnson	Hocking-Brown & Keecha-Milsom	Anum & Akyaw	Ruth SilcoffⒸ , Franjo Jurkin , Soumitra Tonapi
B4	Fraser & Chan	Ristić & Antonijević	Lai & Subagaran	Enikeeva and Sze	Hadar GoldbergⒸ , Jacob Silcoff
B5	Danguilan & Legaspi	Amin & Wang	Katzir & Horovitz	Ursenbach & Svirsky	Enting LeeⒸ , Jenny Li , Uzair Tajuddin
B6	Morita & Matsushima	Cerniauskaite & Pfeiffer	Widayat & Wiandika	Ok & Won	Paolo TainoⒸ , Ruth Selorme Acolatse , Cassandra Louise CarletⓉ
B7	Vasić & Moscovici	Karim & Kanungo	Gillis & Homnick	Radosavljević & Čelebić	Harish NatarajanⒸ , Alice Bertoni , Daisy Yan Sun
B8	Collison & Kawczak	Banihani & Shahriar	Bannerman & Acheampong	Šuflaj & Djaković	Andrew ChenⒸ , Claire Florendo , Eyedi WenⓉ
B9	Radić & Pažin	Erez & Rolls	Amir & Uddin	Sakhena & Hamdani	Rahul DattaⒸ , Halimat Ojone Usman
C1	Chigasaki & Ueda	Peralta & Unabia	Hashim & Dublin	Wang & Niu	Oscar ChaffeyⒸ , Conor Dolan , Joel Yayra Aboagye
C10	Caro & Jag	Kim & Orfanel	Mitra & Mitra	Samuel & Akorede	Zi Cheng HuangⒸ , Nicole Cheung , Jin Hyang KimⓉ
C2	Kneppers & Bhuyan	Wagner & Meir	Talip & Salayo	Monteiro & Poggi	Kiana Saint-MacaryⒸ , Odong Vincent , Yuya Kagazume
C3	Mempin & Dava	Tripura & Khan	Brown & Park	Cao & Chau	Aliya FairuzⒸ , Marko Vasilijević , Juraj KaramanⓉ
C4	Binnes & Moz	Gao & Xiao	Chien & Kumar	Hakim & Sufea	Diego DuarteⒸ , Avyay M C , Michal TamirⓉ
C5	Wang & Chan	Lim & Zakiyya	Lopolito & Powers	Acquah & Kwadade	TunanⒸ , ADEBIMPE Morenikeji Fatimah , Emily Paulin
C6	Monteith & Rafay	Kerr & Gala	Agarwal & Bhattacharya	Chua & Leung	Geneva RoyⒸ , Raymond Chuma-Onwuoku
C7	Subchavaroj & Wittayasakpan	Xu & Yuan	Velasco & Tan	Järvisaari & Park	Miriam KalmanⒸ , Devashish Trivedi , Thomas Godfrey
C8	Carroll & Dinneen	Sjamsudin & Fakhri	Wilson & Moisio	Dixon & Pinnock	Tawfique ElahiⒸ , Alexis Baraka Mcharo , Laya Reddy
C9	Maruf & Rahat	Giaretta & Júnior	Mirandilla & Tiamson	Veras & Teles	OGUNDARE TAYE TOBIⒸ , Heather Ashworth , Li Miao
D1	Jarufe & Vergara	Khan & Jaiswal	Buckus & Zhura	Duran & Godos	Pranav KagalkarⒸ , Valerie Pang
D10	Sim & Sharif	Windsor & Maltman	Kapoor & Nicholson	Moriarty & Ma	Nikola MichaylovⒸ , Chris , Lianghua SunⓉ
D2	Sebastian & Tandy	Gülyeşil & Johnson	Islam & Xing	Mirković & Batanjski	Marina KojićⒸ , Gao XiaoYu , Michael Moran
D3	Matcheva & Angelov	Wu & Cheng	Panovka & Rosen	Kodnani & Li	Milos MarjanovicⒸ , Brendon Chen , Davida Paul
D4	Tanuja & Songshoptak	Mackic & Lazic	Garg & Tan	Agarwal & Wu	Katarina KuoⒸ , Dongbin (DB) Lee , Miza E Shafa Binti Rizwan Ahmad
D5	Li & Georgantaki	Bakhtiar & Naim	Assassa & Low	Pu & Ali	Narayan SharmaⒸ , Harry Wu , Nikola Singband
D6	Jansen & Muntean	Dovzhenko & Kiri	Lu & Weaving	Williams & McKinney-Perry	NJUGUNA MACHARIAⒸ , Priyanka Das , Sarthak Yadav
D7	Sourav & Mansur	Chew & Wang	Cullen & Vanni-Igbinomwanhia	Dwivedi & Le	Ayafa TonyeⒸ , Nirali Rout
D8	Udorji & Chiagoziem	Dong & Li	Song & Kim	Arachchi & Gooneratne	Jamie Salem DalgetyⒸ , Samantha Zhang , Sudiksha Aggarwal
D9	Cheng & Dao	Pramata & Suharto	Li & Chen	Silva & Đặng	Kate Xinyi HeⒸ , Olamilekan Oderanti , Vigneshwaran A/L Sundrasagar
E1	Komala & Sairam	Langmead & Weir	Yang & Jin	Henry & Grew	Emma WalkerⒸ , Emilio Lorenzo , George Jameson Macauley
E10	Hussain & Díaz	Antonio & Timothy	Yuan & Yang	Wong & Chen	Jack SynnottⒸ , SAMUEL Victory
E2	Twum & Poku	Sanchez & Catingub	Treporna & Faisal	Chen & GAO	Jonathan TuliaoⒸ , Chelsey Dong , patrick mayhew
E3	Hossain & Hasan	Brazil & Predavec	Perera & Hettiarachchi	Hoi & Tang	Aleisha LawrenceⒸ , Tamkeen Nawab , Mu'adz BahariⓉ
E4	advincula & pandapatan	Mishra & Saidha	Ken & Chew	Mor & Ratner	Tejas SubramaniamⒸ , Bukunmi Babatunde , Julia Fueh Mihovilović
E5	Wang & Au	Grace & Ibiso	Sheremeta & Yang	Belai & Dwivedi	Shudipto R. AhmedⒸ , Michael Khalfin
E6	Zempare & Osei-Sekyereh	Roach & Pozios	Nishu & Rahman	Foysal & Alam	Sowmya SrinivasanⒸ , Alex Munro , Edmond KorangⓉ
E7	Pitt & Tunks	Logan & Li	Wong & Maaz	Irfan & Brdnik	Ilija IvaniševićⒸ , Ayalla Ron , Kerrin R-S
E8	Attakpah & Ametu	Neri & Fong	Ong & Soh	Villano & Kuo	Caoimhin HamillⒸ , Vedika Kedia
E9	Revilla & Camariño	Ito & Matsuda	Stanciu & Murphy	Kajitani & Masaoka	Niki AngelovⒸ , Alberto Nakakogue Neto , Lia Denise Tan
F1	Vaishnavi & Mansata	Wasek & Alam	Tan & Bajrai	Liu & Liu	David MenciasⒸ , Milica Kostin , Rohan Lewis
F10	Khaidar & Akhmetova	Sheng & Luo	Lu & Tran	Ihsanuddin & Ayob	Mark RotheryⒸ , Rahat Khan , Tejas Baviskar
F2	Selveliev & Marinov	Sammak & Caito	Chang & Chandravanshi	Africa & Vitug	Tin PuljićⒸ , Chinmaya Mohan , Karina Wugang
F3	Marušić & Baljak	Aycardo & Arbole	Hà & Trần	McElrea & Koneru	Revan TJⒸ , Jeronya Mbiatat , Anika TasnimⓉ
F4	Bhojani & Sriram	Kiew & Lee	Ko & Bahrim	Monardo & Price	Lucie SlamovaⒸ , Dihan Mashroor Niloy
F5	Hervir & Thurlow	Goh & Sim	Diskin & Toomey	Wang & Westwood	Noluthando HononoⒸ , Ralph Lee
F6	Ramadhan & Setiardhi	Puthee & Dola	Charya & 178	Santang & Maulida	Amelia PotockaⒸ
F7	Swing 2	Yang & Wang	Abubakar & Agyemang	Swing Minto & Colatto	Anna SawickaⒸ , Ryosei Kobayashi
F8	Han & Yang	Ha & Rachatawarn	Chen & He	Ahmad & Salekin	Alex LovellⒸ , Ishaan Goel , Ishaque Rahman Sadat
F9	Nathan & Karttikeyn	Lorin & Shahfizal	Venkat & Ajane	Zapata & Revelo	Aisha O'MalleyⒸ , Julia San Jose , Takushi Kobayashi
G1	Fernando & Perera	Wu & Lin	Sayiram & Chadha	Hubilla & Vendiola	Tom ManorⒸ , Erica Liu
G10	Lee & Na	Godil & Yoon	Baek & Kolle	Belloube & Rodrigues	Mukhtar TashkenbayevⒸ , Fernanda Crousillat Rayter , Vuong Quoc Dung
G2	Pham & Junawan	Bervoets & Eberdorfer	Orlando & Manaye	Arumdapta & Pratama	Eric KazadiⒸ , Alyssa Peyra , Misha AdrinaⓉ
G3	Simonnet-Lefevre & Mansuralli	Johnson & Giugno	Waddle & Abernethy	Abramovich & Cohen	Craig McDonaldⒸ , Comfort Ayelomi , Miloš Prokić
G4	Saavedra & Duque	Beisenbay & Menlen	Andras & Mihácsi	Karmakar & Samin	Matthew Conley-EvansⒸ , Annisa Batrisyia , Carmel Kenneth
G5	Yu & Wong	Aurnab & Uzzaman	Alistasya & Suriadi	Mayhew & Karthick	Aniket ChakravortyⒸ , Gaveal Fan , Melveer Jay Singh
G6	Singh & Adwani	Halevi & Gold	Choy & Weerasinghe	Agbetsoamedo & Ballanq	Namita PandeyⒸ , Luca Lombardo , Mishaal Said
G7	Han & Vu	Villas & Prasad	Shashidaran & Aliu	R & Nagda	Sébastien Dunne FulmerⒸ , Chris Braithwaite , Siti Aisyah
G8	Liu & Kagan	Kandarpa & Pallrand	Ju & Mentzinger	Zec & Bošnjak	Daniel Maier-GantⒸ , Himanshi Wadhwa
G9	Jung & Lee	Rubin & Amid	Dorvlo & Opoku-Agyeman	Maljković & Burazer-Turko	Matt AydinⒸ , Collins Chinonso , Gao Junze
H1	Puri & Ahuja	Cohen & Shalabby	Eleven & Klaus	Yap & Yee	Anna ShrederⒸ , Aaron Aldrich O. Alonzo , Ryunosuke Hashimoto
H10	Schwartz & Hollander	Nazar & Mohamed	Logarić & Dautović	Wolf & Wolff	Elaye KarstadtⒸ , Andrea Chow Yiing Jia , Jason O. ChanⓉ
H2	Hu & Song	Jones & Brandenbarg	Čeović & Žnidar	Segbefia & Terku	Jessica MusulinⒸ , Or Toledano
H3	Browne & Carey	Das & Dash	Garcia & Leon	Ettlinger & Hartstein	Pranav AnandⒸ , Ojas Date , gabriel ordonez
H4	Mohan & Bahuguna	Javaid & Muneeb	Posse & Gatti	Jeff & Kenneth	Raffy PerezⒸ , Henry Kofi , ZH MasudⓉ
H5	Jr. & Javier	Bertiz & Lastrollo	Aquino & Barranda	Edagbami & Pilkinton	PragyanⒸ , Jin Lei , Haeun KimⓉ
H6	Dey & Apurba	Lê & Nguyễn	Keeley & Ashdhir	Williams & Wolfe	Tengku OmarⒸ , Samuel Druce , Mohd Hasbul Hadi Bin Mohamad Hafizzudin ChangⓉ
H7	Oh & Loy	Tomer & Agarwal	Chen & Tang	Giovanni & Ben	William SmithⒸ , Maggie Pierce , Shikhar Raj Beri
H8	Swing 3	Ahmed & Khan	Abakah & Sanaki	Kwadey & Asare	Shaquille Scott DavisⒸ , Emi Negita , Uhleli MdingiⓉ
H9	Islam & Reaz	Parash & Rahat	Arfan & Fidan	Swing 4	Anshuman MishraⒸ , Ellen McKimm , Lindsey Bonsu
J1	Lee & Oh	Hafiz & Rendi	Xu & Huang	Sun & Lin	Joshua CohenⒸ , Christy Nina Murray , Philip ObidierⓉ
J10	Rees & Reid	Zhang & Zhang	Phan & Vu	khatoon & Elnahas	Prashasti SaxenaⒸ , Fatin Alisya , Toru Oga
J2	Akulov & Zubko	Rao & Huang	Dewar & Nambiar	Mentzines & Ryan	Juanita Hincapié RestrepoⒸ , Elgin Lin
J3	McCarthy & Palmer	Hong & Mauriello	Carasel & Coman	Sulit & Garcia	Robert BarrieⒸ , Adya Sharma , Ofri Raz
J4	Ferguson & Boag	Lim & Thanh	Muhit & Tasnim	Tang & Shen	Rushdoon AhmedⒸ , Joy Awulika Hadome , Sophie YuanⓉ
J5	Krūmiņš & Radavičiūtė	Balang & Az-Zahra	Pemberton & Purwanto	Kemp & Bathula	Ethan CurryⒸ , Irina Radosavljević , Way De
J6	Wadhwaney & Ahmed	Yu & Zheng	Ballesteros & Campos	Lee & Lee	Dhruv HariharanⒸ , Assel Kenzhebay , Kezia Amponsah Okyere
J7	Birney & Webster	Ghaisani & Ongkojoyo	Wong & Khan	Putri & Tan	Josef FlorendoⒸ , Esther Olamide Olayinka , Sanya Kanchan GuptaⓉ
J8	Hung & Kien	Narang & Saini	Seddon & Nguyễn	Nouman & Docherty	Beatrice CuizonⒸ , Micheal Zhang , TwinkleⓉ
J9	Yao & Xu	Niyigena & Wang	Okumura & Ojima	Triviño & Leyton	Leauren Shiyuan JiⒸ , Chris Mueller , Nadira R Arifandi
